"Rk","Predictions"
1,"0"
2,"0"
3,"0"
4,"0"
5,"1"
6,"1"
7,"0"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"1"
22,"0"
23,"1"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"1"
30,"1"
31,"0"
32,"1"
33,"0"
34,"0"
35,"1"
36,"0"
37,"0"
38,"1"
39,"0"
40,"0"
41,"1"
42,"0"
43,"0"
44,"1"
45,"0"
46,"1"
47,"1"
48,"0"
49,"1"
50,"1"
51,"0"
52,"1"
53,"0"
54,"1"
55,"1"
56,"0"
57,"0"
58,"0"
59,"0"
60,"1"
61,"0"
62,"0"
63,"0"
64,"0"
65,"1"
66,"1"
67,"1"
68,"1"
69,"1"
70,"1"
71,"0"
72,"0"
73,"0"
74,"0"
75,"1"
76,"0"
77,"0"
78,"0"
79,"0"
80,"1"
81,"1"
82,"0"
83,"0"
84,"0"
85,"0"
86,"0"
87,"0"
88,"1"
89,"0"
90,"0"
91,"0"
92,"0"
93,"0"
94,"0"
95,"0"
96,"1"
97,"0"
98,"1"
99,"0"
100,"1"
101,"1"
102,"0"
103,"1"
104,"0"
105,"0"
106,"0"
107,"0"
108,"0"
109,"0"
110,"1"
111,"0"
112,"0"
113,"0"
114,"0"
115,"0"
116,"0"
117,"0"
118,"1"
119,"0"
120,"0"
121,"0"
122,"1"
123,"0"
124,"1"
125,"0"
126,"1"
127,"1"
128,"0"
129,"0"
130,"1"
131,"0"
132,"1"
133,"0"
134,"0"
135,"1"
136,"1"
137,"1"
138,"0"
139,"0"
140,"0"
141,"1"
142,"1"
143,"1"
144,"0"
145,"1"
146,"0"
147,"0"
148,"0"
149,"0"
150,"0"
151,"0"
152,"1"
153,"0"
154,"0"
155,"1"
156,"1"
157,"1"
158,"0"
159,"0"
160,"0"
161,"0"
162,"0"
163,"1"
164,"0"
165,"1"
166,"1"
167,"1"
168,"0"
169,"0"
170,"0"
171,"0"
172,"0"
173,"0"
174,"0"
175,"0"
176,"1"
177,"1"
178,"1"
179,"0"
180,"0"
181,"0"
182,"0"
183,"0"
184,"0"
185,"0"
186,"0"
187,"1"
188,"0"
189,"0"
190,"0"
191,"0"
192,"0"
193,"1"
194,"0"
195,"0"
196,"0"
197,"0"
198,"0"
199,"0"
200,"1"
201,"0"
202,"0"
203,"0"
204,"0"
205,"0"
206,"0"
207,"0"
208,"0"
209,"1"
210,"1"
211,"0"
212,"1"
213,"0"
214,"0"
215,"0"
216,"0"
217,"0"
218,"1"
219,"0"
220,"0"
221,"0"
222,"1"
223,"0"
224,"0"
225,"1"
226,"1"
227,"1"
